get_title_2nd_version,title,price,rating,reviews,availability
PlayStation 4 500GB Console (Renewed),PlayStation 4 500GB Console (Renewed),$199.00,4.5 out of 5 stars,"1,121 ratings",Only 14 left in stock - order soon.
PlayStation 4 Slim 1TB Console - Black (Renewed),PlayStation 4 Slim 1TB Console - Black (Renewed),$227.00,4.5 out of 5 stars,"1,577 ratings",In Stock
Sony Playstation PS4 1TB Black Console,Sony Playstation PS4 1TB Black Console,$329.99,4.5 out of 5 stars,"1,469 ratings",In Stock
"Sony PlayStation 4 Pro w/ Accessories, 1TB HDD, CUH-7215B - Jet Black (Renewed)","Sony PlayStation 4 Pro w/ Accessories, 1TB HDD, CUH-7215B - Jet Black (Renewed)",$232.99,4.5 out of 5 stars,908 ratings,Only 19 left in stock - order soon.
PlayStation 4 Slim 1TB Console,PlayStation 4 Slim 1TB Console,$328.95,4.5 out of 5 stars,"15,700 ratings",In Stock
PlayStation 4 Console - 1TB Slim Edition (Renewed),PlayStation 4 Console - 1TB Slim Edition (Renewed),$209.99,4.5 out of 5 stars,70 ratings,Only 1 left in stock - order soon.
"Playstation SONY 4, 500GB Slim System [CUH-2215AB01], Black, 3003347 (Renewed)","Playstation SONY 4, 500GB Slim System [CUH-2215AB01], Black, 3003347 (Renewed)",$200.56,4.5 out of 5 stars,422 ratings,Only 1 left in stock - order soon.
PlayStation®4 Console – Call of Duty® Modern Warfare II Bundle,PlayStation®4 Console – Call of Duty® Modern Warfare II Bundle,$330.97,4.5 out of 5 stars,62 ratings,In Stock
Sony PlayStation 4 Slim Limited Edition 1TB Gaming Console (Renewed),Sony PlayStation 4 Slim Limited Edition 1TB Gaming Console (Renewed),$220.00,4.5 out of 5 stars,"1,412 ratings",In Stock
PlayStation 4 Slim 500GB Console [Discontinued] (Renewed),PlayStation 4 Slim 500GB Console [Discontinued] (Renewed),$181.90,4.5 out of 5 stars,"1,392 ratings",In Stock
PlayStation®5 Digital Edition (slim),PlayStation®5 Digital Edition (slim),$449.99,4.5 out of 5 stars,"5,174 ratings",In Stock
"Sony PlayStation 4 Console, Renewed, Black","Sony PlayStation 4 Console, Renewed, Black",$193.99,4.5 out of 5 stars,215 ratings,Only 1 left in stock - order soon.
Sony PlayStation 4 500GB Premium Bundle (Renewed),Sony PlayStation 4 500GB Premium Bundle (Renewed),$234.99,4.5 out of 5 stars,3 ratings,In Stock
Newest Sony Playstation 4 Slim 1TB SSD Console - Marvel's Spider-Man PS4 Bundle with DualShock-4 Wireless Controller,Newest Sony Playstation 4 Slim 1TB SSD Console - Marvel's Spider-Man PS4 Bundle with DualShock-4 Wireless Controller,$357.59,4.5 out of 5 stars,332 ratings,Only 6 left in stock - order soon.
Sony PlayStation 4 Pro 1TB White (PS4),Sony PlayStation 4 Pro 1TB White (PS4),$271.99,4.3 out of 5 stars,937 ratings,Only 6 left in stock - order soon.
PlayStation 4 500GB Console [Old Model][Discontinued],PlayStation 4 500GB Console [Old Model][Discontinued],$123.00,4.5 out of 5 stars,"13,582 ratings",Only 5 left in stock - order soon.
